L cm,yi cm,Story Area,stories,architectural_archetype,connection_system,xi cm,D+0.25L,Direction,soil_class,seismic_zone,Story,Wall
120.0,56.00000000000001,5302759.515700001,5,D,ATS,1941.0,185189.73881632392,X,C,3,2,B.3
285.0,1101.0,5302759.515700001,5,D,ATS,1836.0,154344.44496377397,Y,C,3,5,15.1
120.0,1202.1,2526612.8516999995,3,C,HD,400.51,72294.96200107581,X,B,1,1,9.1
209.5,1138.0,5302759.515700001,4,D,HD,380.0,149182.82780226163,Y,B,1,3,4.2
169.0,434.5,2526612.8516999995,4,C,HD,1970.56,72821.9483763758,X,C,1,1,4.2
330.0,655.0,4366070.964799999,3,Q,HD,1569.0,111389.98561860804,X,C,3,3,4.3
162.0,788.0,4918759.585999998,5,P,ATS,1861.0,139770.08452479623,Y,B,1,5,4.5
799.0,2321.0,4918759.585999998,3,P,HD,645.0,135455.22995873934,Y,D,3,2,D.2
563.25,655.0,5302759.515700001,4,D,HD,1913.0,150826.84808586157,X,C,1,2,G.4
288.0,2131.0,4366070.964799999,4,Q,HD,1590.0,121066.64556585804,X,A,1,3,11.2
120.0,1254.0,5302759.515700001,4,D,HD,2099.0,150826.84808586157,X,C,1,2,L.5
190.0,1215.0,5302759.515700001,5,D,ATS,825.0,179901.27091222396,Y,A,1,2,6.2
120.0,56.00000000000001,5302759.515700001,5,D,HD,516.0,181021.18507927397,X,A,1,2,B.2
471.0,1053.0,5302759.515700001,5,D,ATS,977.0,179059.68690532394,Y,C,1,3,7.2
120.0,56.00000000000001,5302759.515700001,5,D,ATS,167.0,179299.22616682394,X,A,3,1,B.1
162.0,1617.0000000000002,4366070.964799999,4,Q,HD,1837.0,111059.95374720804,Y,A,3,4,8.6
284.0,2578.0,4918759.585999998,3,P,HD,1769.0000000000002,135455.22995873934,Y,D,3,2,J.5
330.0,655.0,4366070.964799999,4,Q,HD,349.0,111251.58515640804,Y,D,1,4,4.2
122.0,313.0,5302759.515700001,5,D,HD,118.0,154706.41540337398,Y,A,1,5,2.2
276.0,861.0,4918759.585999998,5,P,ATS,1769.0000000000002,157864.49785104624,Y,A,3,2,J.2
388.0,316.62,2526612.8516999995,3,C,HD,1090.36,72273.66962227582,Y,C,1,1,G.1
276.0,1859.0,4918759.585999998,5,P,HD,1769.0000000000002,139929.7773657962,Y,A,1,5,J.4
799.0,2321.0,4918759.585999998,3,P,HD,645.0,135094.23043913936,Y,D,1,1,D.2
194.5,547.0,5302759.515700001,5,D,ATS,2104.0,180466.83701332397,Y,A,3,2,20.1
120.0,1254.0,5302759.515700001,5,D,HD,3873.0,179636.844550124,Y,A,1,4,L.7
799.0,2321.0,4918759.585999998,5,P,ATS,645.0,139770.08452479623,Y,C,1,5,D.2
194.5,763.0,5302759.515700001,5,D,HD,353.0,183062.916253424,Y,B,3,1,3.2
120.0,56.00000000000001,5302759.515700001,4,D,HD,167.0,152389.86220986157,X,C,1,1,B.1
120.0,2483.0,4366070.964799999,5,Q,ATS,1696.0,146689.69197746413,X,D,1,3,13.4
169.0,774.5,2526612.8516999995,4,C,HD,1970.56,71975.57631907582,X,A,1,2,6.2
162.0,1839.0,4366070.964799999,5,Q,ATS,81.0,144692.69456186413,X,A,1,1,10.1
352.0,877.0,4366070.964799999,5,Q,ATS,360.0,145111.0834544641,X,A,1,2,6.2
287.0,1865.0,4918759.585999998,5,P,ATS,1409.0,139858.49175969622,Y,D,1,5,I.4
540.0,604.5,2526612.8516999995,3,C,HD,1664.51,72098.00749717581,X,A,3,1,5.3
195.0,898.0,4366070.964799999,3,Q,HD,1745.0,111389.98561860804,Y,B,3,3,J.3
289.0,1906.0,4366070.964799999,4,Q,HD,525.0,121588.30884645804,Y,A,3,2,C.2
190.0,1215.0,5302759.515700001,5,D,ATS,3564.0,179901.27091222396,Y,A,1,2,35.2
156.0,689.4,2526612.8516999995,4,C,HD,581.56,64840.02839625081,Y,C,1,4,E.3
471.0,1052.0,5302759.515700001,4,D,HD,3411.9999999999995,152106.56320401162,Y,B,3,1,34.2
335.0,304.03,2526612.8516999995,5,C,ATS,1572.96,74192.42165052702,Y,A,3,5,J.1
149.0,134.0,4918759.585999998,5,P,HD,1057.0,158338.25327934622,X,A,3,4,2.2
471.0,258.0,5302759.515700001,3,D,HD,3411.9999999999995,151936.3714910866,Y,D,3,1,34.1
494.0,2247.0,4366070.964799999,4,Q,HD,1291.0,123906.72865245806,Y,D,1,2,H.4
570.0,1360.0,4918759.585999998,6,P,ATS,469.00000000000006,157683.51263124624,Y,D,1,5,6.1
120.0,1254.0,5302759.515700001,3,D,HD,167.0,150742.49454936158,X,C,3,2,L.1
563.25,655.0,5302759.515700001,5,D,ATS,1350.0,185189.73881632392,X,C,3,2,G.3
122.0,313.0,5302759.515700001,5,D,ATS,118.0,154371.06043727396,Y,A,3,5,2.2
205.0,878.34,2526612.8516999995,3,C,HD,231.62,64861.320775050815,X,C,3,3,7.1
120.0,1202.1,2526612.8516999995,5,C,ATS,400.51,86550.30719825202,X,D,1,3,9.1
307.0,1090.0,5302759.515700001,4,D,HD,3824.0,150396.49339386157,Y,D,1,2,36.4
470.0,788.0,4918759.585999998,5,P,ATS,971.0,157715.45119944622,Y,A,1,4,4.3
287.0,856.0,4918759.585999998,5,P,ATS,533.0,157715.45119944622,Y,A,3,4,C.1
209.5,172.0,5302759.515700001,5,D,ATS,380.0,178966.13461792396,Y,A,1,3,4.1
185.0,229.17,2526612.8516999995,5,C,HD,1297.26,87614.92613825202,Y,B,1,1,H.1
136.5,835.0,5302759.515700001,4,D,HD,2440.0,135167.7485555116,Y,D,1,4,I.3
287.0,363.0,5302759.515700001,4,D,HD,2206.0,135167.7485555116,Y,A,1,4,D.2
270.0,11.0,4918759.585999998,3,P,HD,1503.0,124194.29903288934,X,B,3,3,1.2
799.0,400.0,4918759.585999998,5,P,ATS,645.0,158313.70346244622,Y,A,1,2,D.1
352.0,2296.0,4366070.964799999,3,Q,HD,173.0,111059.95374720804,Y,C,1,3,B.6
276.0,1859.0,4918759.585999998,5,P,HD,1769.0000000000002,158790.71632884623,Y,B,1,2,J.4
209.5,1138.0,5302759.515700001,5,D,ATS,4009.000000000001,181437.31462544893,Y,B,1,1,37.2
122.0,313.0,5302759.515700001,5,D,ATS,118.0,178966.13461792396,Y,A,1,4,2.2
335.0,304.03,2526612.8516999995,3,C,HD,901.56,72129.94606537581,Y,C,1,2,F.1
544.0,567.0,4918759.585999998,4,P,HD,1670.0,134271.81061673933,X,A,3,2,3.4
122.0,11.0,5302759.515700001,4,D,HD,3411.9999999999995,135350.9873333116,Y,C,1,4,A.2
324.0,175.7,2526612.8516999995,5,C,ATS,2058.16,86640.79980815202,Y,B,1,1,L.1
284.0,2578.0,4918759.585999998,5,P,ATS,173.0,157864.49785104624,Y,A,3,2,B.5
433.0,1299.0,5302759.515700001,5,D,ATS,3065.0,179334.22441252394,X,B,1,1,M.2
288.0,2131.0,4366070.964799999,5,Q,HD,1590.0,145544.3897138641,X,B,1,2,11.2
443.0,655.0,5302759.515700001,5,D,ATS,4167.0,154371.06043727396,Y,C,1,5,G.8
209.5,1138.0,5302759.515700001,3,D,HD,2312.0,149789.6605980616,Y,A,3,2,22.1
288.0,2131.0,4366070.964799999,5,Q,ATS,328.0,145061.62681856408,Y,C,1,4,11.1
284.0,2578.0,4918759.585999998,6,P,ATS,1769.0000000000002,157936.39674564623,Y,D,1,4,J.5
120.0,2483.0,4366070.964799999,5,Q,ATS,222.00000000000003,126200.3185371141,Y,B,1,5,13.1
232.0,842.0,5302759.515700001,5,D,HD,11.0,180243.677345924,Y,C,1,3,1.2
287.0,1906.0,4366070.964799999,4,Q,HD,1745.0,122577.17971905804,Y,D,1,3,J.5
158.0,745.0,5302759.515700001,5,D,HD,3824.0,180994.23369862395,Y,A,1,1,36.3
149.0,2586.0,4918759.585999998,3,P,HD,886.0,135043.65934823934,X,B,3,1,10.1
443.0,655.0,5302759.515700001,5,D,HD,222.00000000000003,182474.850285524,X,D,1,1,G.1
120.0,1183.0,5302759.515700001,4,D,HD,118.0,149512.8596736616,Y,C,1,3,2.4
209.5,1138.0,5302759.515700001,5,D,HD,1574.0,179636.844550124,Y,C,1,4,12.1
284.0,142.0,4918759.585999998,5,P,HD,1769.0000000000002,158199.85281714622,Y,B,1,4,J.1
152.0,988.0,4918759.585999998,3,P,HD,1247.0,134543.28844643934,X,C,3,2,5.2
284.0,2578.0,4918759.585999998,5,P,ATS,173.0,157864.49785104624,Y,C,1,2,B.5
172.0,1833.0,4366070.964799999,3,Q,HD,1291.0,111059.95374720804,Y,C,1,3,H.3
185.0,229.17,2526612.8516999995,5,C,ATS,1297.26,88625.42575565202,Y,D,3,2,H.1
799.0,2321.0,4918759.585999998,6,P,ATS,645.0,160151.2151979962,Y,D,1,2,D.2
287.0,363.0,5302759.515700001,4,D,HD,2685.0,149182.82780226163,X,A,1,2,D.3
470.0,788.0,4918759.585999998,5,P,HD,971.0,139929.7773657962,X,A,3,5,4.3
287.0,947.0,5302759.515700001,5,D,ATS,1704.0,154371.06043727396,Y,C,1,5,J.2
205.0,330.7,2526612.8516999995,5,C,ATS,2242.89,74192.42165052702,Y,C,1,5,3.2
284.0,2578.0,4918759.585999998,5,P,HD,173.0,158034.8368814462,Y,A,1,4,B.5
149.0,2586.0,4918759.585999998,4,P,HD,1057.0,134101.47158633932,X,C,1,3,10.2
364.0,806.0,5302759.515700001,5,D,HD,3393.0,180243.677345924,X,A,1,3,H.3
156.0,519.6,2526612.8516999995,6,C,ATS,1892.96,86989.10565305201,Y,D,1,3,K.2
287.0,856.0,4918759.585999998,4,P,HD,1409.0,133936.4556506393,Y,B,1,3,I.1
274.0,748.3,2526612.8516999995,5,C,ATS,6.9,86550.30719825202,Y,D,1,3,A.2
120.0,56.00000000000001,5302759.515700001,5,D,ATS,2290.0,185237.64666862396,X,B,3,2,B.4
195.0,1595.0,4366070.964799999,3,Q,HD,1745.0,111389.98561860804,Y,C,3,3,J.4
276.0,1859.0,4918759.585999998,3,P,HD,173.0,135094.23043913936,Y,D,1,1,B.4
155.0,2361.0,4366070.964799999,4,Q,HD,1048.0,124289.99147085805,X,D,1,1,12.2
169.0,774.5,2526612.8516999995,3,C,HD,1970.56,72518.53197847582,X,C,1,1,6.2
158.0,565.0,5302759.515700001,5,D,HD,565.0,180509.83208092395,Y,A,3,4,5.2
326.0,504.0,5302759.515700001,3,D,HD,3411.9999999999995,150742.49454936158,X,D,3,2,F.3
169.0,434.5,2526612.8516999995,3,C,HD,503.96,73244.7775470758,X,C,3,1,4.1
288.0,363.0,4366070.964799999,4,Q,HD,1590.0,121646.86288815804,X,B,1,1,3.2
120.0,1254.0,5302759.515700001,5,D,HD,167.0,180850.51014172396,X,B,1,2,L.1
540.0,604.5,2526612.8516999995,5,C,ATS,270.0,87401.49470705201,Y,B,3,4,5.1
352.0,198.0,4366070.964799999,3,Q,HD,173.0,123559.48274865805,Y,B,3,1,B.1
352.0,198.0,4366070.964799999,5,Q,ATS,173.0,126291.52085101412,Y,C,1,5,B.1
120.0,127.0,5302759.515700001,5,D,HD,4271.0,180573.70921732395,Y,B,3,4,39.1
209.5,172.0,5302759.515700001,5,D,HD,4009.000000000001,181664.94363082395,Y,C,1,1,37.1
126.0,877.0,4366070.964799999,5,Q,ATS,1239.0,149718.07142036408,X,B,3,1,6.4
762.0,1247.0,4366070.964799999,5,Q,HD,753.0,145041.73229396413,Y,C,1,3,E.1
352.0,877.0,4366070.964799999,5,Q,HD,360.0,126413.24232511412,Y,B,1,5,6.2
338.0,1932.0,4918759.585999998,3,P,HD,353.0,124055.89857068934,X,B,3,3,8.2
540.0,604.5,2526612.8516999995,5,C,ATS,2204.51,87120.93179555201,X,B,1,1,5.4
205.0,330.7,2526612.8516999995,5,C,HD,2242.89,87268.92498275201,X,A,1,2,3.2
169.0,774.4,2526612.8516999995,5,C,HD,503.96,87268.92498275201,X,A,1,2,6.1
162.0,1932.0,4918759.585999998,5,P,HD,81.0,139929.7773657962,X,A,1,5,8.1
352.0,1617.0000000000002,4366070.964799999,3,Q,HD,360.0,124742.72743095804,X,D,3,1,8.2
190.0,95.0,5302759.515700001,5,D,HD,3564.0,180243.677345924,Y,B,1,3,35.1
274.0,460.7,2526612.8516999995,5,C,ATS,6.9,86662.09218695201,Y,A,3,1,A.1
156.0,689.4,2526612.8516999995,3,C,HD,581.56,72684.7002588758,Y,B,3,1,E.3
494.0,2247.0,4366070.964799999,5,Q,HD,627.0,145978.5969611641,Y,A,3,2,D.4
799.0,400.0,4918759.585999998,5,P,ATS,1297.0,158476.65712404624,Y,A,3,3,H.1
155.0,2361.0,4366070.964799999,3,Q,HD,1048.0,121726.70930865804,X,C,3,2,12.2
122.0,1299.0,5302759.515700001,4,D,HD,977.0,149789.6605980616,X,D,1,3,M.1
352.0,2296.0,4366070.964799999,3,Q,HD,173.0,121066.64556585804,Y,A,1,1,B.6
570.0,1360.0,4918759.585999998,3,P,HD,469.00000000000006,134106.79468103932,X,B,1,1,6.1
422.0,1360.0,4918759.585999998,5,P,ATS,1769.0000000000002,157864.49785104624,Y,B,1,2,J.3
195.0,1595.0,4366070.964799999,5,Q,ATS,1745.0,148111.2080720641,Y,D,1,1,J.4
162.0,1839.0,4366070.964799999,3,Q,HD,1837.0,111059.95374720804,X,A,3,3,10.4
126.0,877.0,4366070.964799999,3,Q,HD,1239.0,121634.69841045803,X,B,1,1,6.4
120.0,1254.0,5302759.515700001,3,D,HD,516.0,150119.69246946156,X,B,3,2,L.2
570.0,1360.0,4918759.585999998,5,P,HD,469.00000000000006,159269.7948518462,X,A,3,2,6.1
292.0,498.00000000000006,5302759.515700001,5,D,ATS,2446.0,180870.44662679892,Y,C,3,4,24.1
364.0,806.0,5302759.515700001,5,D,HD,3393.0,180573.70921732395,Y,B,3,4,H.3
388.0,316.62,2526612.8516999995,5,C,HD,1090.36,74346.79139682701,Y,A,3,5,G.1
570.0,1360.0,4918759.585999998,6,P,ATS,469.00000000000006,159348.1651739462,X,D,1,3,6.1
155.0,2361.0,4366070.964799999,4,Q,HD,1048.0,121646.86288815804,X,B,1,1,12.2
284.0,142.0,4918759.585999998,3,P,HD,173.0,133936.4556506393,Y,A,1,2,B.1
284.0,142.0,4918759.585999998,6,P,ATS,1769.0000000000002,160684.9061862962,Y,B,3,2,J.1
120.0,56.00000000000001,5302759.515700001,4,D,HD,1941.0,150396.49339386157,X,A,3,2,B.3
180.0,505.3,2526612.8516999995,4,C,HD,2137.35,72305.60819047582,Y,D,1,2,M.1
762.0,1247.0,4366070.964799999,5,Q,HD,753.0,126413.24232511412,Y,C,1,5,E.1
200.0,1249.0,4918759.585999998,4,P,HD,533.0,135130.53843563935,Y,C,1,2,C.2
799.0,2321.0,4918759.585999998,6,P,ATS,645.0,161868.83609514622,Y,D,1,1,D.2
194.5,547.0,5302759.515700001,5,D,HD,2788.0,181566.864509024,Y,D,1,3,28.1
194.5,763.0,5302759.515700001,5,D,ATS,2285.0,154339.12186907398,Y,D,3,5,21.1
180.0,701.2,2526612.8516999995,5,C,ATS,2137.35,74192.42165052702,Y,B,1,5,M.2
324.0,161.9,2526612.8516999995,3,C,HD,2338.44,72716.63882707582,Y,C,3,2,N.1
169.0,434.5,2526612.8516999995,3,C,HD,1970.56,72386.60695567582,X,C,3,2,4.2
120.0,11.0,4366070.964799999,3,Q,HD,1696.0,121726.70930865804,X,B,3,2,1.4
120.0,56.00000000000001,5302759.515700001,5,D,ATS,2602.0,185189.73881632392,X,C,3,2,B.5
180.0,701.2,2526612.8516999995,5,C,ATS,2137.35,89434.27842125202,Y,C,3,1,M.2
265.0,363.0,5302759.515700001,5,D,HD,262.0,181566.864509024,X,D,1,3,D.1
270.0,11.0,4918759.585999998,5,P,ATS,1503.0,162306.88449144622,X,C,3,1,1.2
388.0,316.62,2526612.8516999995,4,C,HD,1384.16,72529.17816787581,Y,B,3,2,I.1
227.5,504.0,5302759.515700001,5,D,HD,1529.0,182474.850285524,X,D,1,1,F.2
120.0,56.00000000000001,5302759.515700001,5,D,ATS,2951.0,154371.06043727396,Y,A,1,5,B.6
171.0,2483.0,4366070.964799999,3,Q,HD,1448.0,111059.95374720804,X,D,1,3,13.3
162.0,1932.0,4918759.585999998,4,P,HD,1861.0,123890.88263498934,X,A,3,4,8.5
422.0,1360.0,4918759.585999998,6,P,ATS,1769.0000000000002,161868.83609514622,Y,D,1,1,J.3
136.5,475.0,5302759.515700001,3,D,HD,1949.0,135774.5813513116,X,C,3,3,E.2
443.0,655.0,5302759.515700001,5,D,HD,665.0,180573.70921732395,Y,B,3,4,G.2
195.0,1595.0,4366070.964799999,4,Q,HD,1745.0,122341.65041895804,Y,B,3,2,J.4
725.0,362.0,4366070.964799999,3,Q,HD,959.0,121066.64556585804,Y,B,1,1,F.1
158.0,565.0,5302759.515700001,5,D,ATS,3824.0,185189.73881632392,Y,C,3,2,36.2
287.0,363.0,5302759.515700001,5,D,HD,2685.0,154706.41540337398,Y,C,1,5,D.3
126.0,877.0,4366070.964799999,5,Q,ATS,679.0,125289.0994245141,Y,C,3,5,6.3
194.5,763.0,5302759.515700001,4,D,HD,2285.0,149182.82780226163,Y,B,1,3,21.1
544.0,567.0,4918759.585999998,6,P,ATS,272.0,160740.74924049622,X,D,1,2,3.1
338.0,788.0,4918759.585999998,3,P,HD,1589.0,135413.65154603936,X,C,3,1,4.4
209.5,1138.0,5302759.515700001,5,D,ATS,380.0,179059.68690532394,Y,B,1,2,4.2
156.0,519.6,2526612.8516999995,5,C,ATS,581.56,86662.09218695201,Y,A,3,1,E.2
162.0,1839.0,4366070.964799999,5,Q,ATS,1837.0,144447.6212033641,X,A,1,3,10.4
209.5,172.0,5302759.515700001,5,D,ATS,380.0,154371.06043727396,Y,A,1,5,4.1
725.0,362.0,4366070.964799999,5,Q,ATS,959.0,126200.3185371141,Y,B,1,5,F.1
742.0,1247.0,4366070.964799999,5,Q,HD,371.0,145877.4581618641,X,C,1,1,7.1
799.0,2321.0,4918759.585999998,6,P,ATS,1297.0,158329.04959884624,Y,B,3,3,H.2
169.0,774.4,2526612.8516999995,5,C,ATS,503.96,86550.30719825202,Y,D,1,4,6.1
185.0,229.17,2526612.8516999995,3,C,HD,1297.26,73180.90041067581,Y,B,3,1,H.1
158.0,745.0,5302759.515700001,5,D,ATS,2497.0,178966.13461792396,Y,A,3,3,25.1
443.0,655.0,5302759.515700001,5,D,HD,665.0,182474.850285524,X,D,1,1,G.2
195.0,898.0,4366070.964799999,4,Q,HD,173.0,121066.64556585804,Y,A,1,3,B.3
330.0,1839.0,4366070.964799999,5,Q,ATS,1569.0,126200.3185371141,Y,B,1,5,10.3
540.0,604.5,2526612.8516999995,5,C,HD,810.0,86859.04669085202,X,A,1,4,5.2
120.0,6.9,2526612.8516999995,5,C,ATS,2074.01,89642.005002952,X,D,3,1,1.2
335.0,904.97,2526612.8516999995,5,C,ATS,901.56,88428.32370485202,Y,B,3,2,F.2
120.0,56.00000000000001,5302759.515700001,3,D,HD,4222.0,135167.7485555116,X,D,1,3,B.8
136.5,835.0,5302759.515700001,5,D,HD,3881.0,179636.844550124,Y,B,1,4,I.4
120.0,56.00000000000001,5302759.515700001,5,D,HD,167.0,181335.58357372397,X,A,1,1,B.1
276.0,1859.0,4918759.585999998,5,P,HD,1769.0000000000002,158199.85281714622,Y,B,1,4,J.4
156.0,689.4,2526612.8516999995,5,C,ATS,1892.96,88625.42575565202,Y,D,3,2,K.3
232.0,468.0,5302759.515700001,4,D,HD,4378.0,152389.86220986157,Y,C,1,1,40.1
190.0,1215.0,5302759.515700001,5,D,HD,825.0,181021.18507927397,Y,A,1,2,6.2
265.0,947.0,5302759.515700001,3,D,HD,4127.0,152243.9297496616,X,D,3,2,J.4
227.5,806.0,5302759.515700001,5,D,ATS,2860.0,179620.22747032394,Y,C,1,4,H.2
338.0,788.0,4918759.585999998,6,P,ATS,353.0,157683.51263124624,Y,B,3,5,4.2
287.0,588.0,4366070.964799999,5,Q,HD,1745.0,144690.40804376412,Y,A,1,4,J.2
265.0,363.0,5302759.515700001,5,D,HD,262.0,181026.96852712397,X,B,1,2,D.1
149.0,2586.0,4918759.585999998,3,P,HD,886.0,133936.4556506393,X,A,1,2,10.1
205.0,878.34,2526612.8516999995,5,C,ATS,2242.81,87410.86657055201,X,A,1,1,7.2
287.0,363.0,5302759.515700001,5,D,ATS,2685.0,154371.06043727396,Y,A,1,5,D.3
152.0,988.0,4918759.585999998,5,P,ATS,695.0,157864.49785104624,X,A,3,2,5.1
494.0,2247.0,4366070.964799999,4,Q,HD,1291.0,121588.30884645804,Y,A,3,2,H.4
120.0,56.00000000000001,5302759.515700001,5,D,ATS,2951.0,178966.13461792396,Y,D,1,4,B.6
324.0,161.9,2526612.8516999995,5,C,ATS,2338.44,74192.42165052702,Y,B,1,5,N.1
136.5,475.0,5302759.515700001,5,D,ATS,2943.0,179620.22747032394,Y,C,1,4,E.3
471.0,258.0,5302759.515700001,5,D,ATS,977.0,180743.63793772392,Y,A,3,1,7.1
288.0,2131.0,4366070.964799999,5,Q,ATS,1590.0,144264.5604677641,Y,C,1,4,11.2
149.0,2586.0,4918759.585999998,6,P,ATS,886.0,157683.51263124624,Y,B,3,5,10.1
155.0,133.0,4366070.964799999,4,Q,HD,871.0000000000001,111059.95374720804,Y,B,1,4,2.1
540.0,604.5,2526612.8516999995,5,C,HD,810.0,86960.18549015201,X,A,1,3,5.2
284.0,2578.0,4918759.585999998,5,P,HD,173.0,139929.7773657962,Y,B,1,5,B.5
799.0,400.0,4918759.585999998,5,P,HD,1297.0,158034.8368814462,Y,A,1,4,H.1
324.0,1033.3,2526612.8516999995,5,C,ATS,416.35,74228.165025127,Y,D,1,5,D.2
330.0,1839.0,4366070.964799999,5,Q,ATS,349.0,146221.0098341641,X,B,3,3,10.2
209.5,172.0,5302759.515700001,3,D,HD,4009.000000000001,135167.7485555116,Y,D,1,3,37.1
120.0,56.00000000000001,5302759.515700001,3,D,HD,1941.0,151197.79395006158,X,B,3,2,B.3
205.0,878.34,2526612.8516999995,5,C,HD,231.62,87726.71112695202,X,A,3,1,7.1
162.0,788.0,4918759.585999998,5,P,ATS,1861.0,139770.08452479623,Y,A,3,5,4.5
136.5,835.0,5302759.515700001,4,D,HD,2440.0,151062.00267141158,X,A,3,1,I.3
152.0,1732.0,4918759.585999998,3,P,HD,689.0,134436.82655243934,X,A,3,1,7.1
136.5,835.0,5302759.515700001,3,D,HD,3881.0,150742.49454936158,X,D,3,2,I.4
330.0,1839.0,4366070.964799999,3,Q,HD,1569.0,122180.83326375805,X,B,3,1,10.3
190.0,95.0,5302759.515700001,5,D,ATS,825.0,184609.52149402397,Y,D,3,3,6.1
284.0,142.0,4918759.585999998,5,P,ATS,173.0,161449.86624474623,Y,C,3,2,B.1
288.0,2131.0,4366070.964799999,3,Q,HD,1590.0,111389.98561860804,X,D,3,3,11.2
287.0,588.0,4366070.964799999,3,Q,HD,1745.0,121066.64556585804,Y,A,1,2,J.2
122.0,11.0,5302759.515700001,4,D,HD,3411.9999999999995,150826.84808586157,X,C,1,2,A.2
155.0,2361.0,4366070.964799999,3,Q,HD,1048.0,121258.27697505803,X,A,3,2,12.2
162.0,1617.0000000000002,4366070.964799999,4,Q,HD,81.0,121878.04247835804,X,B,1,1,8.1
120.0,1254.0,5302759.515700001,5,D,ATS,1787.0,155818.65140207397,Y,B,3,5,L.4
180.0,505.3,2526612.8516999995,4,C,HD,337.16,72619.67077777581,Y,A,3,1,C.1
284.0,142.0,4918759.585999998,5,P,HD,1769.0000000000002,158034.8368814462,Y,A,1,4,J.1
338.0,168.8,2526612.8516999995,5,C,ATS,581.56,74192.42165052702,Y,D,1,5,E.1
223.0,404.0,5302759.515700001,5,D,ATS,1297.0,178966.13461792396,Y,A,3,3,9.1
120.0,2483.0,4366070.964799999,5,Q,ATS,222.00000000000003,144264.5604677641,Y,B,1,4,13.1
287.0,947.0,5302759.515700001,5,D,HD,1704.0,184959.35766292395,X,A,3,2,J.2
122.0,997.0,5302759.515700001,4,D,HD,4271.0,149789.6605980616,Y,D,1,3,39.3
120.0,6.9,2526612.8516999995,4,C,HD,400.51,64840.02839625081,Y,A,1,4,1.1
136.5,475.0,5302759.515700001,5,D,ATS,2943.0,179059.68690532394,X,D,1,3,E.3
169.0,774.4,2526612.8516999995,5,C,ATS,503.96,73282.540667677,Y,C,3,5,6.1
338.0,788.0,4918759.585999998,6,P,ATS,353.0,161868.83609514622,X,D,1,1,4.2
298.0,1007.0,5302759.515700001,5,D,ATS,3252.0000000000005,180565.74535552395,X,C,1,2,K.1
270.0,11.0,4918759.585999998,3,P,HD,439.0,124194.29903288934,X,D,3,3,1.1
307.0,1090.0,5302759.515700001,3,D,HD,565.0,135497.78042691157,Y,B,3,3,5.4
307.0,1000.0,5302759.515700001,5,D,ATS,2497.0,179174.53157152396,Y,B,3,2,25.2
338.0,1040.2,2526612.8516999995,4,C,HD,1892.96,64840.02839625081,Y,A,3,4,K.4
540.0,604.5,2526612.8516999995,4,C,HD,2204.51,64840.02839625081,Y,A,3,4,5.4
200.0,1471.0,4918759.585999998,4,P,HD,1409.0,124055.89857068934,Y,C,1,4,I.3
190.0,95.0,5302759.515700001,5,D,ATS,3260.0,179153.23919272394,Y,B,3,3,33.1
284.0,142.0,4918759.585999998,5,P,ATS,173.0,160596.9032435462,Y,D,1,1,B.1
494.0,2247.0,4366070.964799999,5,Q,ATS,1291.0,148936.0284149641,Y,C,3,1,H.4
227.5,504.0,5302759.515700001,5,D,ATS,1529.0,179334.22441252394,X,A,1,1,F.2
762.0,1247.0,4366070.964799999,5,Q,HD,1165.0,144690.40804376412,Y,C,1,4,G.1
352.0,877.0,4366070.964799999,3,Q,HD,360.0,121066.64556585804,X,B,1,2,6.2
338.0,1932.0,4918759.585999998,3,P,HD,1589.0,134239.87204853934,X,C,1,2,8.4
180.0,505.3,2526612.8516999995,6,C,ATS,2137.35,74171.12927172701,Y,D,1,6,M.1
777.0,2332.0,4918759.585999998,3,P,HD,971.0,134239.87204853934,Y,C,1,2,F.2
194.5,763.0,5302759.515700001,5,D,HD,2285.0,180994.23369862395,Y,B,1,1,21.1
307.0,221.0,5302759.515700001,5,D,HD,3000.0,180509.83208092395,Y,A,3,4,31.1
120.0,1254.0,5302759.515700001,4,D,HD,1438.0,149832.24535566158,X,A,1,1,L.3
471.0,258.0,5302759.515700001,4,D,HD,3411.9999999999995,135167.7485555116,Y,C,1,4,34.1
742.0,1247.0,4366070.964799999,5,Q,HD,1547.0,145121.5787144641,X,A,1,2,7.2
169.0,434.5,2526612.8516999995,5,C,ATS,1970.56,88625.42575565202,X,D,3,2,4.2
364.0,806.0,5302759.515700001,5,D,HD,3393.0,181127.31106612395,X,A,3,2,H.3
307.0,221.0,5302759.515700001,5,D,ATS,565.0,179334.22441252394,Y,C,1,1,5.1
136.5,475.0,5302759.515700001,4,D,HD,2943.0,151019.2954737616,X,D,1,1,E.3
570.0,1360.0,4918759.585999998,3,P,HD,469.00000000000006,134101.47158633932,X,A,3,2,6.1
227.5,504.0,5302759.515700001,3,D,HD,1529.0,149789.6605980616,X,C,1,2,F.2
127.0,129.58,2526612.8516999995,5,C,HD,1577.27,74346.79139682701,X,C,1,5,2.3
149.0,2586.0,4918759.585999998,4,P,HD,1057.0,123890.88263498934,X,A,3,4,10.2
289.0,588.0,4366070.964799999,3,Q,HD,1393.0,122367.12925425803,Y,C,3,2,I.1
224.0,2154.0,4918759.585999998,3,P,HD,848.0,133936.4556506393,X,A,1,2,9.2
232.0,842.0,5302759.515700001,5,D,ATS,4378.0,184513.70578942396,Y,C,3,3,40.2
