soil_class,Direction,Story Area,stories,D+0.25L,L cm,architectural_archetype,connection_system,xi cm,seismic_zone,Wall,Story,yi cm
B,Y,4366070.964799999,5,144264.5604677641,762.0,Q,ATS,1165.0,1,G.1,4,1247.0
C,X,4918759.585999998,5,158535.2077832462,338.0,P,HD,353.0,1,8.2,3,1932.0
A,Y,2526612.8516999995,4,72332.2236639758,324.0,C,HD,2058.16,3,L.2,2,1033.3
D,Y,5302759.515700001,5,155036.44727477396,194.5,D,HD,2285.0,1,21.1,5,763.0
C,X,4366070.964799999,3,121726.70930865804,288.0,Q,HD,328.0,3,11.1,2,2131.0
D,Y,5302759.515700001,5,154439.45454887397,285.0,D,ATS,2339.0,1,23.1,5,209.0
C,Y,2526612.8516999995,5,86582.24576645202,185.0,C,ATS,1297.26,1,H.1,2,229.17
A,Y,4918759.585999998,4,123890.88263498934,200.0,P,HD,533.0,1,C.2,4,1249.0
A,X,4918759.585999998,4,134133.41015453934,149.0,P,HD,1057.0,1,2.2,2,134.0
A,Y,5302759.515700001,3,149789.6605980616,307.0,D,HD,565.0,3,5.1,1,221.0
A,X,2526612.8516999995,4,72023.4841713758,205.0,C,HD,231.62,1,7.1,1,878.34
D,X,5302759.515700001,4,135167.7485555116,265.0,D,HD,262.0,1,J.1,4,947.0
B,Y,5302759.515700001,4,151252.2023486116,158.0,D,HD,565.0,3,5.3,2,745.0
C,Y,5302759.515700001,5,179059.68690532394,232.0,D,ATS,4378.0,1,40.2,3,842.0
D,Y,2526612.8516999995,4,72305.60819047582,324.0,C,HD,2058.16,1,L.2,2,1033.3
C,Y,4366070.964799999,5,148881.68451506412,494.0,Q,ATS,627.0,3,D.1,2,247.00000000000003
A,Y,2526612.8516999995,4,71954.28394027581,185.0,C,HD,1297.26,1,H.1,3,229.17
A,X,2526612.8516999995,5,74192.42165052702,169.0,C,ATS,503.96,1,4.1,5,434.5
C,Y,4366070.964799999,5,144690.40804376412,195.0,Q,HD,1745.0,1,J.4,4,1595.0
A,Y,5302759.515700001,5,182851.70295532397,292.0,D,HD,2446.0,3,24.1,3,498.00000000000006
D,Y,4366070.964799999,5,144221.9757101641,494.0,Q,ATS,627.0,1,D.1,4,247.00000000000003
B,Y,5302759.515700001,5,180850.51014172396,158.0,D,HD,3824.0,1,36.3,2,745.0
C,Y,5302759.515700001,4,135167.7485555116,307.0,D,HD,1892.0,1,16.1,4,221.0
A,Y,5302759.515700001,5,179334.22441252394,120.0,D,ATS,4271.0,1,39.4,1,1183.0
C,X,4918759.585999998,5,160563.93815319624,152.0,P,ATS,1243.0,3,7.2,3,1732.0
C,Y,5302759.515700001,3,135167.7485555116,158.0,D,HD,565.0,1,5.3,3,745.0
C,X,2526612.8516999995,3,64840.02839625081,120.0,C,HD,2074.01,1,1.2,3,6.9
B,X,5302759.515700001,5,154371.06043727396,287.0,D,ATS,2206.0,1,D.2,5,363.0
C,X,4918759.585999998,5,139732.82286189622,338.0,P,ATS,353.0,3,4.2,5,788.0
C,Y,5302759.515700001,5,180335.39991532397,190.0,D,ATS,1632.0,1,14.1,3,95.0
B,Y,2526612.8516999995,5,74192.42165052702,156.0,C,ATS,581.56,1,E.3,5,689.4
D,X,4366070.964799999,5,145181.9362790641,171.0,Q,ATS,470.0,1,13.2,1,2483.0
D,Y,5302759.515700001,4,151019.2954737616,158.0,D,HD,3824.0,1,36.3,1,745.0
C,X,5302759.515700001,5,180870.44662679892,563.25,D,ATS,3029.0,3,G.6,4,655.0
D,Y,2526612.8516999995,3,72278.99271697582,180.0,C,HD,2137.35,1,M.1,1,505.3
B,X,5302759.515700001,4,152106.56320401162,433.0,D,HD,3065.0,3,M.2,1,1299.0
A,X,4366070.964799999,5,145868.88748826412,155.0,Q,HD,1048.0,1,2.2,1,133.0
B,X,5302759.515700001,4,150253.5660972616,287.0,D,HD,2183.0,1,J.3,1,947.0
B,X,4366070.964799999,3,123559.48274865805,120.0,Q,HD,1696.0,3,1.4,1,11.0
B,X,5302759.515700001,5,184534.99816822392,443.0,D,ATS,665.0,3,G.2,3,655.0
A,Y,4918759.585999998,5,159269.7948518462,200.0,P,HD,1409.0,3,I.3,2,1471.0
D,Y,5302759.515700001,5,179749.42579912394,194.5,D,ATS,2285.0,1,21.1,1,763.0
B,X,4366070.964799999,4,111059.95374720804,155.0,Q,HD,871.0000000000001,1,12.1,4,2361.0
A,X,5302759.515700001,5,180466.83701332397,287.0,D,ATS,1704.0,3,J.2,2,947.0
B,X,2526612.8516999995,6,86780.352615052,540.0,C,ATS,1664.51,3,5.3,3,604.5
B,Y,2526612.8516999995,5,86550.30719825202,324.0,C,ATS,416.35,1,D.2,4,1033.3
A,Y,2526612.8516999995,5,87902.42438345202,324.0,C,HD,136.08,3,B.2,2,1047.1
A,Y,5302759.515700001,5,154706.41540337398,471.0,D,HD,3411.9999999999995,3,34.1,5,258.0
A,Y,2526612.8516999995,5,87391.50462545201,388.0,C,ATS,1090.36,3,G.1,3,316.62
D,X,2526612.8516999995,3,64941.167195550806,120.0,C,HD,2074.01,3,1.2,3,6.9
D,X,4366070.964799999,5,148391.95980266412,162.0,Q,ATS,81.0,3,6.1,3,877.0
D,X,4366070.964799999,5,149094.60830306413,352.0,Q,ATS,1558.0,3,6.5,2,877.0
A,X,4366070.964799999,5,145978.5969611641,330.0,Q,HD,1569.0,3,10.3,2,1839.0
C,Y,5302759.515700001,5,178966.13461792396,158.0,D,ATS,2497.0,1,25.1,4,745.0
A,X,2526612.8516999995,5,74346.79139682701,127.0,C,HD,897.24,3,8.1,5,1079.42
C,X,4366070.964799999,3,122056.74118005804,642.0,Q,HD,959.0,3,5.1,1,736.0
C,X,2526612.8516999995,5,73282.540667677,120.0,C,ATS,400.51,3,1.1,5,6.9
B,Y,2526612.8516999995,5,86960.18549015201,324.0,C,HD,2058.16,1,L.1,3,175.7
D,Y,5302759.515700001,5,181622.81212027397,209.5,D,ATS,2815.0,3,29.1,4,172.0
D,Y,5302759.515700001,5,178966.13461792396,158.0,D,ATS,1389.0,1,10.1,4,745.0
B,Y,4918759.585999998,5,159446.78736384623,287.0,P,HD,533.0,1,C.4,1,1865.0
A,X,4366070.964799999,5,145121.5787144641,352.0,Q,HD,360.0,1,6.2,2,877.0
A,X,4918759.585999998,4,133936.4556506393,338.0,P,HD,1589.0,3,4.4,3,788.0
B,Y,2526612.8516999995,5,74192.42165052702,180.0,C,ATS,337.16,1,C.1,5,505.3
C,Y,4366070.964799999,4,121258.27697505803,172.0,Q,HD,1291.0,1,H.2,3,661.0
D,X,5302759.515700001,5,178966.13461792396,227.5,D,ATS,2860.0,1,H.2,4,806.0
A,Y,2526612.8516999995,5,87570.82309235202,156.0,C,HD,581.56,3,E.3,3,689.4
A,Y,4918759.585999998,5,159088.8096320462,799.0,P,HD,1297.0,1,H.2,1,2321.0
D,X,4366070.964799999,4,122577.17971905804,162.0,Q,HD,81.0,1,6.1,3,877.0
B,Y,2526612.8516999995,6,86507.72244065201,335.0,C,ATS,901.56,3,F.2,4,904.97
A,Y,5302759.515700001,4,149832.24535566158,194.5,D,HD,4036.0,1,38.1,1,547.0
B,Y,5302759.515700001,4,149553.1810140616,158.0,D,HD,1892.0,1,16.2,2,565.0
C,Y,5302759.515700001,5,180850.51014172396,190.0,D,HD,2757.0,1,27.1,2,1215.0
D,X,4366070.964799999,4,121790.58644505806,330.0,Q,HD,349.0,1,4.2,2,655.0
B,Y,2526612.8516999995,5,87135.84761525202,180.0,C,HD,2137.35,1,M.1,3,505.3
C,Y,2526612.8516999995,5,86947.32455015201,388.0,C,ATS,1384.16,1,I.1,4,316.62
D,Y,5302759.515700001,5,180573.70921732395,287.0,D,HD,2206.0,1,D.2,4,363.0
B,Y,4366070.964799999,5,126413.24232511412,195.0,Q,HD,1745.0,1,J.4,5,1595.0
C,Y,2526612.8516999995,5,74192.42165052702,324.0,C,ATS,2058.16,1,L.2,5,1033.3
B,Y,5302759.515700001,5,154371.06043727396,209.5,D,ATS,2077.0,3,19.1,5,172.0
A,X,5302759.515700001,5,184959.35766292395,120.0,D,HD,516.0,3,L.2,2,1254.0
B,X,2526612.8516999995,6,86507.72244065201,540.0,C,ATS,270.0,3,5.1,5,604.5
A,X,5302759.515700001,5,180850.51014172396,364.0,D,HD,996.0,1,F.1,2,504.0
A,Y,5302759.515700001,5,180743.63793772392,209.5,D,ATS,2312.0,3,22.1,1,1138.0
D,Y,4366070.964799999,3,121726.70930865804,287.0,Q,HD,173.0,1,B.2,1,588.0
C,Y,5302759.515700001,5,154344.44496377397,209.5,D,ATS,4009.000000000001,3,37.1,5,172.0
A,X,4366070.964799999,5,144642.5001914641,742.0,Q,ATS,1547.0,3,7.2,1,1247.0
B,Y,5302759.515700001,3,150119.69246946156,209.5,D,HD,4009.000000000001,3,37.1,2,172.0
C,X,5302759.515700001,5,180243.677345924,298.0,D,HD,3252.0000000000005,1,K.1,3,1007.0
D,Y,4918759.585999998,6,157936.39674564623,777.0,P,ATS,971.0,1,F.1,4,389.0
A,X,4918759.585999998,5,159125.11762854623,270.0,P,HD,1503.0,1,11.2,1,2709.0
B,Y,2526612.8516999995,5,86960.18549015201,180.0,C,HD,2137.35,1,M.1,3,505.3
A,Y,2526612.8516999995,5,74346.79139682701,338.0,C,HD,1892.96,3,K.4,5,1040.2
B,Y,5302759.515700001,5,155818.65140207397,190.0,D,ATS,3564.0,3,35.1,5,95.0
B,Y,5302759.515700001,5,179600.37914752393,194.5,D,ATS,1601.0000000000002,3,13.1,1,763.0
C,X,2526612.8516999995,4,72156.56153887582,120.0,C,HD,2074.01,1,1.2,2,6.9
A,Y,5302759.515700001,4,149789.6605980616,223.0,D,HD,3092.0,3,32.1,3,907.0
D,Y,4918759.585999998,5,160596.9032435462,276.0,P,ATS,173.0,1,B.2,1,861.0
C,Y,5302759.515700001,3,150396.49339386157,285.0,D,HD,2553.0,1,26.1,1,199.0
D,X,5302759.515700001,5,181566.864509024,122.0,D,HD,3411.9999999999995,1,A.2,3,11.0
C,Y,5302759.515700001,5,180565.74535552395,209.5,D,ATS,4009.000000000001,1,37.1,2,172.0
D,X,4366070.964799999,3,121681.58667615804,120.0,Q,HD,222.00000000000003,1,13.1,2,2483.0
A,Y,4366070.964799999,5,144275.2066571641,195.0,Q,ATS,173.0,1,B.3,3,898.0
D,Y,2526612.8516999995,3,73613.04291907582,324.0,C,HD,136.08,3,B.1,1,161.9
D,Y,4366070.964799999,5,150084.70391726412,172.0,Q,ATS,1291.0,3,H.3,1,1833.0
B,X,2526612.8516999995,4,72183.1770123758,127.0,C,HD,1577.27,1,2.3,2,129.58
D,X,2526612.8516999995,6,87212.67563045202,127.0,C,ATS,1577.27,1,2.3,2,129.58
C,Y,5302759.515700001,5,179636.844550124,190.0,D,HD,825.0,1,6.1,4,95.0
D,Y,5302759.515700001,3,152243.9297496616,194.5,D,HD,2285.0,3,21.1,2,763.0
A,Y,5302759.515700001,5,154706.41540337398,471.0,D,HD,3411.9999999999995,1,34.2,5,1052.0
A,Y,5302759.515700001,4,149225.4125598616,190.0,D,HD,3564.0,1,35.2,2,1215.0
A,Y,5302759.515700001,4,135167.7485555116,194.5,D,HD,1601.0000000000002,1,13.1,4,763.0
A,Y,4366070.964799999,4,111059.95374720804,725.0,Q,HD,959.0,3,F.2,4,2132.0
C,X,4918759.585999998,5,162306.88449144622,270.0,P,ATS,439.0,3,1.1,1,11.0
A,X,5302759.515700001,4,149225.4125598616,120.0,D,HD,2951.0,1,B.6,2,56.00000000000001
A,X,4918759.585999998,5,158231.7913853462,224.0,P,HD,848.0,1,3.2,3,567.0
B,Y,2526612.8516999995,4,64840.02839625081,180.0,C,HD,2137.35,1,M.2,4,701.2
A,Y,4366070.964799999,4,111059.95374720804,494.0,Q,HD,1291.0,3,H.1,4,247.00000000000003
D,X,4366070.964799999,3,111389.98561860804,642.0,Q,HD,959.0,3,9.1,3,1757.9999999999998
A,X,4366070.964799999,5,144447.6212033641,171.0,Q,ATS,470.0,1,13.2,3,2483.0
B,Y,5302759.515700001,5,179059.68690532394,209.5,D,ATS,1574.0,1,12.1,2,1138.0
C,Y,4366070.964799999,5,145041.73229396413,172.0,Q,HD,1291.0,1,H.2,3,661.0
D,Y,5302759.515700001,5,182283.218876324,194.5,D,HD,353.0,1,3.1,2,547.0
A,Y,5302759.515700001,3,135167.7485555116,471.0,D,HD,977.0,1,7.2,3,1053.0
C,Y,4366070.964799999,3,111059.95374720804,352.0,Q,HD,173.0,1,B.1,3,198.0
D,Y,4366070.964799999,4,123906.72865245806,172.0,Q,HD,1291.0,1,H.2,2,661.0
D,Y,5302759.515700001,4,135350.9873333116,194.5,D,HD,2788.0,1,28.1,4,547.0
B,X,5302759.515700001,3,150119.69246946156,122.0,D,HD,977.0,3,M.1,2,1299.0
C,Y,5302759.515700001,3,151365.2966292616,122.0,D,HD,118.0,3,2.2,1,313.0
B,Y,5302759.515700001,4,149182.82780226163,471.0,D,HD,1480.0,1,11.1,3,258.0
D,Y,5302759.515700001,5,182283.218876324,122.0,D,HD,4271.0,1,39.2,2,313.0
A,X,2526612.8516999995,3,64840.02839625081,280.0,C,HD,1237.26,1,2.2,3,129.58
A,Y,2526612.8516999995,5,86960.18549015201,388.0,C,HD,1090.36,1,G.2,3,892.38
B,Y,5302759.515700001,5,184534.99816822392,120.0,D,ATS,118.0,3,2.1,3,127.0
A,Y,2526612.8516999995,5,87784.50863345202,185.0,C,ATS,1297.26,3,H.1,2,229.17
D,Y,4366070.964799999,5,126168.3799689141,494.0,Q,ATS,627.0,1,D.4,5,2247.0
A,X,4366070.964799999,5,144264.5604677641,171.0,Q,ATS,470.0,1,1.2,4,11.0
A,X,4366070.964799999,5,145020.4399151641,120.0,Q,HD,1696.0,3,13.4,4,2483.0
A,Y,4366070.964799999,4,111059.95374720804,195.0,Q,HD,1745.0,3,J.3,4,898.0
A,Y,2526612.8516999995,5,87410.86657055201,338.0,C,ATS,1892.96,1,K.4,1,1040.2
B,X,4918759.585999998,6,157704.80501004623,162.0,P,ATS,81.0,3,4.1,4,788.0
A,Y,5302759.515700001,5,179059.68690532394,190.0,D,ATS,1129.0,1,8.1,2,1215.0
B,Y,4366070.964799999,5,147131.2590278641,762.0,Q,ATS,753.0,3,E.1,1,1247.0
C,X,5302759.515700001,3,135774.5813513116,120.0,D,HD,1438.0,3,L.3,3,1254.0
D,Y,5302759.515700001,3,135444.5494799116,120.0,D,HD,118.0,3,2.4,3,1183.0
A,Y,2526612.8516999995,5,87784.50863345202,180.0,C,ATS,337.16,3,C.1,2,505.3
A,X,5302759.515700001,5,180743.63793772392,433.0,D,ATS,1324.0,3,A.1,1,11.0
A,Y,5302759.515700001,5,178966.13461792396,190.0,D,ATS,2757.0,1,27.1,4,1215.0
B,X,4918759.585999998,5,158146.69610244624,149.0,P,ATS,1057.0,3,2.2,3,134.0
B,Y,4366070.964799999,4,121066.64556585804,352.0,Q,HD,1745.0,1,J.6,3,2296.0
D,Y,5302759.515700001,5,154439.45454887397,292.0,D,ATS,1943.0,1,17.1,5,811.9999999999999
A,X,4366070.964799999,5,144447.6212033641,162.0,Q,ATS,81.0,1,4.1,3,655.0
B,Y,2526612.8516999995,5,86960.18549015201,324.0,C,HD,136.08,1,B.1,3,161.9
C,Y,5302759.515700001,5,184513.70578942396,209.5,D,ATS,380.0,3,4.1,3,172.0
A,Y,5302759.515700001,3,149182.82780226163,194.5,D,HD,2788.0,1,28.1,1,547.0
C,Y,4918759.585999998,4,124055.89857068934,284.0,P,HD,173.0,1,B.5,4,2578.0
D,Y,5302759.515700001,5,181185.9414049489,194.5,D,ATS,353.0,1,3.1,3,547.0
C,X,4366070.964799999,3,122011.61854755804,120.0,Q,HD,222.00000000000003,1,1.1,1,11.0
D,Y,5302759.515700001,5,182015.13938437396,209.5,D,ATS,4009.000000000001,1,37.2,2,1138.0
B,Y,5302759.515700001,3,135497.78042691157,307.0,D,HD,565.0,3,5.1,3,221.0
A,X,5302759.515700001,3,149789.6605980616,298.0,D,HD,1137.0,3,C.1,2,303.0
A,Y,5302759.515700001,5,180994.23369862395,285.0,D,HD,1836.0,1,15.1,1,1101.0
B,Y,5302759.515700001,3,135774.5813513116,158.0,D,HD,3000.0,3,31.2,3,565.0
A,Y,4366070.964799999,4,121646.86288815804,195.0,Q,HD,1745.0,1,J.3,1,898.0
D,Y,5302759.515700001,3,150742.49454936158,307.0,D,HD,565.0,3,5.1,2,221.0
D,X,5302759.515700001,5,179749.42579912394,120.0,D,ATS,2951.0,1,B.6,1,56.00000000000001
C,X,5302759.515700001,5,180870.44662679892,120.0,D,ATS,167.0,3,L.1,4,1254.0
B,X,4918759.585999998,4,134639.10415103936,544.0,P,HD,272.0,1,3.1,1,567.0
C,Y,5302759.515700001,4,135167.7485555116,285.0,D,HD,1836.0,1,15.1,4,1101.0
A,Y,2526612.8516999995,5,87570.82309235202,335.0,C,HD,1572.96,3,J.2,3,904.97
A,X,5302759.515700001,5,178966.13461792396,443.0,D,ATS,4167.0,3,G.8,2,655.0
A,Y,5302759.515700001,5,180466.83701332397,307.0,D,ATS,565.0,3,5.4,3,1090.0
D,X,5302759.515700001,3,135774.5813513116,287.0,D,HD,2206.0,3,D.2,3,363.0
A,Y,5302759.515700001,5,180509.83208092395,471.0,D,HD,3411.9999999999995,3,34.1,4,258.0
D,Y,5302759.515700001,3,150742.49454936158,194.5,D,HD,353.0,3,3.2,2,763.0
D,X,4918759.585999998,3,135625.56898913934,149.0,P,HD,1057.0,3,10.2,2,2586.0
A,Y,5302759.515700001,5,181335.58357372397,307.0,D,HD,565.0,1,5.4,1,1090.0
B,Y,4918759.585999998,5,159227.21009424623,200.0,P,HD,1409.0,1,I.3,1,1471.0
C,X,5302759.515700001,5,180243.677345924,433.0,D,HD,3065.0,1,M.2,3,1299.0
B,Y,5302759.515700001,5,180573.70921732395,190.0,D,HD,1129.0,3,8.1,4,1215.0
B,X,4918759.585999998,5,158535.2077832462,224.0,P,HD,1094.0,1,9.3,3,2154.0
A,X,4366070.964799999,5,144692.69456186413,120.0,Q,ATS,222.00000000000003,1,1.1,1,11.0
D,Y,5302759.515700001,4,150396.49339386157,232.0,D,HD,11.0,1,1.2,2,842.0
B,Y,4918759.585999998,3,134298.42609023934,276.0,P,HD,1769.0000000000002,1,J.2,1,861.0
D,Y,5302759.515700001,4,150156.1381536616,209.5,D,HD,2815.0,1,29.1,3,172.0
B,Y,5302759.515700001,5,180573.70921732395,209.5,D,HD,4009.000000000001,3,37.2,4,1138.0
B,Y,5302759.515700001,5,154371.06043727396,471.0,D,ATS,2909.0,3,30.1,5,1053.0
A,Y,4366070.964799999,4,121258.27697505803,289.0,Q,HD,525.0,1,C.1,2,588.0
D,X,4366070.964799999,3,111389.98561860804,126.0,Q,HD,679.0,3,8.3,3,1617.0000000000002
A,X,4918759.585999998,5,139770.08452479623,570.0,P,ATS,469.00000000000006,3,6.1,5,1360.0
C,Y,4366070.964799999,5,148936.0284149641,195.0,Q,ATS,1745.0,3,J.3,1,898.0
C,Y,4366070.964799999,5,148285.4979086641,289.0,Q,ATS,525.0,3,C.1,3,588.0
C,X,4918759.585999998,4,134462.48835953933,162.0,P,HD,81.0,1,4.1,3,788.0
A,Y,2526612.8516999995,5,87391.50462545201,324.0,C,ATS,416.35,3,D.2,3,1033.3
B,Y,2526612.8516999995,6,86780.352615052,388.0,C,ATS,1384.16,3,I.1,3,316.62
B,X,4918759.585999998,5,157715.45119944622,270.0,P,ATS,1503.0,1,1.2,4,11.0
D,X,5302759.515700001,4,151205.37060276157,443.0,D,HD,4167.0,1,G.8,2,655.0
D,X,2526612.8516999995,5,88625.42575565202,540.0,C,ATS,2204.51,3,5.4,2,604.5
B,Y,5302759.515700001,5,155818.65140207397,223.0,D,ATS,3092.0,3,32.1,5,907.0
B,X,4366070.964799999,5,145041.73229396413,742.0,Q,HD,371.0,1,7.1,3,1247.0
B,Y,5302759.515700001,5,154706.41540337398,194.5,D,HD,4036.0,1,38.2,5,763.0
B,Y,2526612.8516999995,3,72684.7002588758,338.0,C,HD,1892.96,3,K.1,1,168.8
A,Y,5302759.515700001,5,180466.83701332397,158.0,D,ATS,3824.0,3,36.3,3,745.0
A,Y,2526612.8516999995,5,86550.30719825202,156.0,C,ATS,581.56,1,E.3,3,689.4
B,X,4918759.585999998,5,139929.7773657962,152.0,P,HD,1247.0,1,5.2,5,988.0
A,Y,5302759.515700001,5,154706.41540337398,285.0,D,HD,1836.0,1,15.1,5,1101.0
A,Y,4918759.585999998,5,157961.34638394625,276.0,P,ATS,173.0,1,B.2,3,861.0
B,Y,5302759.515700001,5,180573.70921732395,209.5,D,HD,380.0,3,4.2,4,1138.0
A,X,5302759.515700001,5,180850.51014172396,136.5,D,HD,1949.0,3,E.2,3,475.0
A,X,4918759.585999998,4,134809.44318143933,162.0,P,HD,81.0,3,8.1,1,1932.0
B,Y,4366070.964799999,5,146668.3995986641,287.0,Q,ATS,173.0,3,B.5,4,1906.0
C,X,2526612.8516999995,3,64861.320775050815,169.0,C,HD,503.96,3,4.1,3,434.5
B,Y,4918759.585999998,3,134940.90584513935,422.0,P,HD,173.0,3,B.3,2,1360.0
A,X,4918759.585999998,3,134436.82655243934,149.0,P,HD,886.0,3,2.1,1,134.0
C,Y,5302759.515700001,5,185189.73881632392,471.0,D,ATS,977.0,3,7.1,2,258.0
B,Y,5302759.515700001,3,149936.44383246158,292.0,D,HD,2446.0,1,24.1,1,498.00000000000006
A,Y,2526612.8516999995,5,87410.86657055201,274.0,C,ATS,2467.61,1,O.1,1,460.7
B,Y,2526612.8516999995,4,64840.02839625081,180.0,C,HD,337.16,1,C.2,4,701.2
D,Y,5302759.515700001,3,135444.5494799116,209.5,D,HD,2077.0,3,19.1,3,172.0
D,X,5302759.515700001,5,179227.76251852393,120.0,D,ATS,167.0,1,L.1,2,1254.0
A,X,5302759.515700001,3,149182.82780226163,120.0,D,HD,4230.0,3,L.8,2,1254.0
B,X,4366070.964799999,5,147131.2590278641,352.0,Q,ATS,360.0,3,6.2,1,877.0
B,X,5302759.515700001,5,179334.22441252394,136.5,D,ATS,3881.0,1,E.4,1,475.0
A,Y,5302759.515700001,3,149182.82780226163,471.0,D,HD,977.0,1,7.2,2,1053.0
A,Y,4366070.964799999,5,144690.40804376412,352.0,Q,HD,1745.0,1,J.6,4,2296.0
A,Y,5302759.515700001,5,179716.48581562395,190.0,D,ATS,3260.0,3,33.1,4,95.0
B,X,4366070.964799999,5,145088.1218579641,162.0,Q,HD,1837.0,1,6.6,3,877.0
D,X,5302759.515700001,5,182283.218876324,364.0,D,HD,996.0,1,F.1,2,504.0
C,Y,2526612.8516999995,5,74346.79139682701,388.0,C,HD,1384.16,1,I.2,5,892.38
C,X,4366070.964799999,5,149754.6720458641,126.0,Q,ATS,679.0,3,6.3,1,877.0
D,X,4918759.585999998,4,134239.87204853934,270.0,P,HD,439.0,1,1.1,3,11.0
A,Y,5302759.515700001,5,180509.83208092395,120.0,D,HD,2448.0,3,L.6,4,1254.0
A,Y,5302759.515700001,5,154706.41540337398,287.0,D,HD,2183.0,3,J.3,5,947.0
B,Y,2526612.8516999995,3,72294.96200107581,156.0,C,HD,581.56,1,E.3,1,689.4
A,X,5302759.515700001,5,154371.06043727396,136.5,D,ATS,1446.0,3,I.2,5,835.0
A,Y,5302759.515700001,5,179636.844550124,120.0,D,HD,167.0,1,B.1,4,56.00000000000001
C,Y,4366070.964799999,5,148285.4979086641,289.0,Q,ATS,1393.0,3,I.2,3,1906.0
D,X,4918759.585999998,6,157683.51263124624,570.0,P,ATS,1473.0,1,6.2,5,1360.0
A,X,2526612.8516999995,4,72055.4227395758,205.0,C,HD,231.62,1,7.1,2,878.34
B,Y,5302759.515700001,5,182405.378061524,122.0,D,HD,4271.0,3,39.3,2,997.0
D,Y,4918759.585999998,6,157683.51263124624,284.0,P,ATS,1769.0000000000002,1,J.5,5,2578.0
B,Y,4918759.585999998,5,158106.70035114622,287.0,P,ATS,533.0,1,C.1,3,856.0
A,X,5302759.515700001,5,180830.28785152396,122.0,D,ATS,3411.9999999999995,1,A.2,1,11.0
A,Y,4918759.585999998,5,160322.42087964623,422.0,P,HD,173.0,3,B.3,2,1360.0
B,Y,4366070.964799999,5,148308.1374691141,352.0,Q,ATS,173.0,3,B.1,2,198.0
A,X,5302759.515700001,3,135167.7485555116,120.0,D,HD,167.0,1,B.1,3,56.00000000000001
A,Y,2526612.8516999995,5,87268.92498275201,274.0,C,HD,6.9,1,A.1,2,460.7
A,X,5302759.515700001,4,150396.49339386157,120.0,D,HD,3873.0,3,L.7,2,1254.0
A,Y,5302759.515700001,5,179059.68690532394,194.5,D,ATS,2285.0,1,21.1,2,763.0
C,X,5302759.515700001,5,180243.677345924,364.0,D,HD,996.0,1,F.1,3,504.0
C,Y,4918759.585999998,3,124194.29903288934,284.0,P,HD,173.0,3,B.1,3,142.0
A,X,4366070.964799999,5,145266.0104282641,171.0,Q,ATS,470.0,3,1.2,3,11.0
B,X,4366070.964799999,4,111059.95374720804,162.0,Q,HD,1837.0,1,8.6,4,1617.0000000000002
B,X,5302759.515700001,3,135774.5813513116,136.5,D,HD,2943.0,3,E.3,3,475.0
C,Y,5302759.515700001,3,135774.5813513116,209.5,D,HD,4009.000000000001,3,37.1,3,172.0
B,Y,5302759.515700001,5,154371.06043727396,471.0,D,ATS,977.0,3,7.2,5,1053.0
B,X,2526612.8516999995,5,87689.11894535202,205.0,C,HD,2242.81,1,7.2,1,878.34
D,Y,4366070.964799999,3,111172.44843990804,195.0,Q,HD,1745.0,1,J.4,3,1595.0
C,X,2526612.8516999995,5,74346.79139682701,120.0,C,HD,2074.01,1,9.2,5,1202.1
A,Y,4366070.964799999,4,121258.27697505803,172.0,Q,HD,1291.0,1,H.3,2,1833.0
A,Y,5302759.515700001,5,180994.23369862395,307.0,D,HD,565.0,1,5.1,1,221.0
C,Y,5302759.515700001,4,150156.1381536616,190.0,D,HD,1632.0,1,14.1,3,95.0
B,Y,4366070.964799999,5,126413.24232511412,494.0,Q,HD,1291.0,1,H.1,5,247.00000000000003
C,Y,5302759.515700001,3,149789.6605980616,209.5,D,HD,380.0,1,4.2,2,1138.0
C,Y,4918759.585999998,4,124055.89857068934,799.0,P,HD,645.0,1,D.1,4,400.0
B,X,5302759.515700001,5,179334.22441252394,287.0,D,ATS,2206.0,1,D.2,1,363.0
C,X,4918759.585999998,5,139929.7773657962,270.0,P,HD,439.0,1,1.1,5,11.0
D,Y,5302759.515700001,5,185450.57045662391,120.0,D,ATS,4271.0,3,39.1,2,127.0
D,X,5302759.515700001,4,150396.49339386157,120.0,D,HD,2602.0,1,B.5,2,56.00000000000001
B,Y,2526612.8516999995,4,72459.9779367758,388.0,C,HD,1384.16,1,I.1,1,316.62
A,Y,2526612.8516999995,5,86582.24576645202,156.0,C,ATS,581.56,1,E.3,2,689.4
A,Y,4366070.964799999,5,145978.5969611641,352.0,Q,HD,173.0,3,B.1,2,198.0
D,Y,4918759.585999998,3,124194.29903288934,422.0,P,HD,173.0,3,B.3,3,1360.0
D,Y,5302759.515700001,5,179227.76251852393,122.0,D,ATS,4271.0,1,39.3,2,997.0
B,Y,2526612.8516999995,5,87268.92498275201,180.0,C,HD,337.16,1,C.1,2,505.3
C,X,5302759.515700001,5,183878.44837934893,136.5,D,ATS,508.0,3,I.1,3,835.0
D,X,5302759.515700001,4,135167.7485555116,120.0,D,HD,167.0,1,B.1,4,56.00000000000001
B,Y,2526612.8516999995,6,86780.352615052,180.0,C,ATS,2137.35,3,M.2,3,701.2
B,Y,2526612.8516999995,6,86780.352615052,274.0,C,ATS,6.9,3,A.1,3,460.7
B,Y,5302759.515700001,4,149182.82780226163,122.0,D,HD,4271.0,1,39.2,3,313.0
